"","Province_State","statefips","date","Population","confirmed","death"
"1","Alabama",1,2020-01-22,4903185,0,0
"2","Alaska",2,2020-01-22,731545,0,0
"3","Arizona",4,2020-01-22,7278717,0,0
"4","Arkansas",5,2020-01-22,3017804,0,0
"5","California",6,2020-01-22,39512223,0,0
"6","Colorado",8,2020-01-22,5758736,0,0
"7","Connecticut",9,2020-01-22,3565287,0,0
"8","Delaware",10,2020-01-22,973764,0,0
"9","Florida",12,2020-01-22,21477737,0,0
"10","Georgia",13,2020-01-22,10617423,0,0
"11","Hawaii",15,2020-01-22,1415872,0,0
"12","Idaho",16,2020-01-22,1787065,0,0
"13","Illinois",17,2020-01-22,12671821,0,0
"14","Indiana",18,2020-01-22,6732219,0,0
"15","Iowa",19,2020-01-22,3155070,0,0
"16","Kansas",20,2020-01-22,2913314,0,0
"17","Kentucky",21,2020-01-22,4467673,0,0
"18","Louisiana",22,2020-01-22,4648794,0,0
"19","Maine",23,2020-01-22,1344212,0,0
"20","Maryland",24,2020-01-22,6045680,0,0
"21","Massachusetts",25,2020-01-22,6892503,0,0
"22","Michigan",26,2020-01-22,9986857,0,0
"23","Minnesota",27,2020-01-22,5639632,0,0
"24","Mississippi",28,2020-01-22,2976149,0,0
"25","Missouri",29,2020-01-22,6626371,0,0
"26","Montana",30,2020-01-22,1068778,0,0
"27","Nebraska",31,2020-01-22,1934408,0,0
"28","Nevada",32,2020-01-22,3080156,0,0
"29","New Hampshire",33,2020-01-22,1359711,0,0
"30","New Jersey",34,2020-01-22,8882190,0,0
"31","New Mexico",35,2020-01-22,2096829,0,0
"32","New York",36,2020-01-22,19453561,0,0
"33","North Carolina",37,2020-01-22,10488084,0,0
"34","North Dakota",38,2020-01-22,762062,0,0
"35","Ohio",39,2020-01-22,11689100,0,0
"36","Oklahoma",40,2020-01-22,3956971,0,0
"37","Oregon",41,2020-01-22,4217737,0,0
"38","Pennsylvania",42,2020-01-22,12801989,0,0
"39","Rhode Island",44,2020-01-22,1059361,0,0
"40","South Carolina",45,2020-01-22,5148714,0,0
"41","South Dakota",46,2020-01-22,884659,0,0
"42","Tennessee",47,2020-01-22,6829174,0,0
"43","Texas",48,2020-01-22,28995881,0,0
"44","Utah",49,2020-01-22,3205958,0,0
"45","Vermont",50,2020-01-22,623989,0,0
"46","Virginia",51,2020-01-22,8535519,0,0
"47","Washington",53,2020-01-22,7614893,1,0
"48","West Virginia",54,2020-01-22,1792147,0,0
"49","Wisconsin",55,2020-01-22,5822434,0,0
"50","Wyoming",56,2020-01-22,578759,0,0
"51","Alabama",1,2020-01-23,4903185,0,0
"52","Alaska",2,2020-01-23,731545,0,0
"53","Arizona",4,2020-01-23,7278717,0,0
"54","Arkansas",5,2020-01-23,3017804,0,0
"55","California",6,2020-01-23,39512223,0,0
"56","Colorado",8,2020-01-23,5758736,0,0
"57","Connecticut",9,2020-01-23,3565287,0,0
"58","Delaware",10,2020-01-23,973764,0,0
"59","Florida",12,2020-01-23,21477737,0,0
"60","Georgia",13,2020-01-23,10617423,0,0
"61","Hawaii",15,2020-01-23,1415872,0,0
"62","Idaho",16,2020-01-23,1787065,0,0
"63","Illinois",17,2020-01-23,12671821,0,0
"64","Indiana",18,2020-01-23,6732219,0,0
"65","Iowa",19,2020-01-23,3155070,0,0
"66","Kansas",20,2020-01-23,2913314,0,0
"67","Kentucky",21,2020-01-23,4467673,0,0
